Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Amann, Juergen; Middleditch, Paul; ",Growth in a time of austerity: Evidence from the UK,Scottish Journal of Political Economy,64,4,349-375,2017,
"Amann, Juergen; Middleditch, Paul; ",Revisiting Reinhart and Rogoff after the crisis: a time series perspective,Cambridge Journal of Economics,44,2,343-370,2020,Oxford University Press UK
"Haraguchi, Nobuya; Amann, Juergen; ",The importance of manufacturing development and structural change for pro-poor growth,Designing Integrated Industrial Policies Volume II: For Inclusive Development in Africa and Asia,,,95-131,2020,Routledge
"Amann, Juergen; Cantore, Nicola; Calí, Massimiliano; Todorov, Valentin; Cheng, Charles Fang Chin; ",Switching it up: The effect of energy price reforms in Oman,World Development,142,,105252,2021,Pergamon
"Haraguchi, Nobuya; Amann, Juergen; ",Sectoral Dynamics,New Perspectives on Structural Change: Causes and Consequences of Structural Change in the Global Economy,1,,240-269,2021,Oxford University Press
"Haraguchi, Nobuya; Amann, Juergen; ",Expanded Real Value-added Data for Manufacturing: A New Approach to Measuring Sub-Sectoral Manufacturing Development,UNIDO Inclusive and Sustainable Industrial Development Working Paper Series,2,2023,,2023,
"Vu, Khuong; Haraguchi, Nobuya; Amann, Juergen; ","Deindustrialization in developed countries amid accelerated globalization: Patterns, influencers, and policy insights",Structural Change and Economic Dynamics,59,,454-469,2021,North-Holland
"Amann, Juergen; Stöllinger, Roman; ",Achieving sustainable development: New empirical evidence on the impact of industrialization on social and environmental,Industrialization as the Driver of Sustained Prosperity,,,1-34,2020,UNIDO
"Karadi, Peter; Amann, Juergen; Bachiller, Javier Sánchez; Seiler, Pascal; Wursten, Jesse; ",Price setting on the two sides of the Atlantic-Evidence from supermarket scanner data,Journal of Monetary Economics,140,,S1-S17,2023,North-Holland
"Vu, Khuong; Amann, Juergen; ","An analysis of ICT hardware manufacturing in industrialized economies: Growth patterns, productivity performance, and driving Forces",Telecommunications Policy,48,1,102675,2024,Elsevier
"Gautier, Erwan; Karadi, Peter; Amann, Juergen; Conflitti, Cristina; Faber, Riemer P; Fabo, Brian; Fadejeva, Ludmila; Fuss, Catherine; Kosma, Theodora; Jouvanceau, Valentin; ",Price Adjustment in the Euro Area in the Low-Inflation Period: Evidence from Consumer and Producer Micro Price Data,ECB Occasional Paper No. 2023/319,,,,2023,
"Amann, Juergen; Grover, Arti; ",The Effects of Energy Prices on Firm Competitiveness: Evidence from Chile,,,,,2023,The World Bank
"Amann, Juergen; Gencer, Defne; Heine, Dirk; ",Firm-Level Effects of Energy Price Increases: Evidence and Insights from Recent Research,https://doi.org/10.1596/41914,,,,2024,"Washington, DC: World Bank"
"Albaladejo, Manuel; Amann, Juergen; Cantore, Nicola; Flammini, Alessandro; Marin, Giovanni; Mazzanti, Massimiliano; ",Assessing the Socio-Economic Impact of the Circular Economy Through Input-Output Modelling: Evidence from Developing Countries,Available at SSRN 5131165,,,,2024,
"Amann, Juergen; Cantore, Nicola; ",Energy Prices and Competitiveness in the Manufacturing Sector,,,,,2025,
"Amann, Juergen; Cantore, Nicola; Korwatanasakul, Upalat; Moll de Alba, Jaime; ",Green Hydrogen Technology: Analysis of the Economic Preconditions in the Future Development of Asia: Clusters of Future Studies: Environmental Futures; Technological Trends,"Future of Economy in Asia: Geopolitical Diplomacy, Technological Revolutions and Sustainable Pathways",,,251-282,2026,Springer Nature Switzerland Cham
"Amann, Juergen; Barnes, Sebastian; Monteiro, Luis; Goel, Sidharth; Haugh, David; ",What was the impact of the pandemic and energy‑food shocks on European consumers'"everyday spending"?: Insights from a new dataset of monthly card spending for 12 countries and 9 spending categories,OECD Economics Department Working Papers,,,,2026,OECD Publishing
"Haraguchi, Nobuya; Khuong, U; Vu, M; Amann, J; ",Accelerated globalization and the dynamics of deindustrialization,Inclusive and Sustainable Industrial Development Working Paper Series WP,27,,89-92,2018,
"Amann, Juergen; Grover, Arti; ",Policy Research Working Paper 10436,Policy,,,,2023,
